topic_reduced_0,topic_reduced_1,topic_reduced_2,topic_reduced_3,topic_reduced_4,topic_reduced_5,topic_reduced_6,topic_reduced_7,topic_reduced_8,topic_reduced_9,topic_reduced_10,topic_reduced_11,topic_reduced_12,topic_reduced_13,topic_reduced_14,topic_reduced_15
indebtedness,ever,regulation,stock,customer,currency,director,estimate,hire,flood,impairment,claim,carbon,union,supply,irs
revolve,discover,stringent,common,demand,peso,incorporation,mineralization,retain,hazard,live,title,emission,bargain,weather,income
debt,guide,environmental,share,sale,political,stockholder,reserve,attract,damage,ounce,defect,gas,strike,availability,taxable
borrowing,positive,law,convertible,margin,country,certificate,feasibility,skilled,occurrence,decline,litigation,greenhouse,collective,nutrition,immaterial
covenant,reserve,hazardous,delist,revenue,dollar,partner,prove,personnel,accident,pound,civil,fuel,work,shortage,tax
indenture,feasibility,waste,dilution,product,instability,officer,ore,key,injury,molybdenum,violation,electricity,stoppage,rainfall,presently
refinance,stage,substance,prefer,manufacturer,denominate,delaware,mineralize,chief,insurance,write,damage,consumption,labor,transportation,carefully
borrow,extract,fine,dilute,electric,foreign,vote,stream,executive,unexpected,copper,criminal,energy,indonesian,pattern,treat
default,mineralize,regulatory,nyse,hbb,peru,merger,assumption,successfully,pandemic,silver,reputation,power,workforce,product,unitholders
credit,commercially,enforcement,dividend,steel,argentina,conflict,geological,success,underground,record,breach,combustion,freeport,water,unit
senior,profitably,safety,stockholder,retail,social,affiliate,recoverable,integrate,weather,inventory,allege,utility,cow,plant,deem
letter,history,regulate,issuance,downturn,inflation,combination,differ,acquisition,severe,per,legal,climate,indonesia,physical,partnership
secure,prove,permit,shareholder,competitor,economic,grupo,inaccurate,qualify,rainfall,average,lawsuit,source,expire,demand,purpose
collateral,acquire,penalty,board,producer,peruvian,unitholders,operator,employee,event,gold,system,electric,worker,customer,know
lender,discovery,governmental,warrant,nmhgs,outside,partnership,probable,acquire,rock,zinc,proceeding,demand,agreement,seasonal,consider
outstanding,probable,health,equity,supply,regional,board,recover,technical,disrupt,fluctuate,injury,natural,ministry,flood,gain
loan,fund,protection,outstanding,competition,mexico,general,actual,strategic,monetary,charge,challenge,generation,wa,deliver,statement
surety,exploration,interpretation,foreseeable,sell,economy,transaction,recovery,suitable,covid,metal,panel,fire,july,equipment,distribution
bond,economically,compliance,holder,domestic,exchange,corporate,study,growth,insure,value,fine,oil,represent,salt,taxation
leverage,ore,federal,exercise,consolidation,international,venture,grade,life,grasberg,volatility,pending,renewable,government,supplier,audit
subsidiary,develop,disposal,list,metallurgical,crisis,common,royalty,effectively,interruption,carry,investigation,plant,employee,electricity,federal
obligation,project,air,security,nutrition,violence,elect,economically,compete,temporarily,commodity,bring,pattern,january,truck,forward
repay,deposit,remediation,debenture,profitability,mexican,joint,extract,highly,incident,respectively,medium,air,negotiate,productivity,look
instrument,sufficient,epa,discretion,market,tariff,provision,viability,experience,extreme,low,penalty,domestic,extension,extreme,entity
ratio,acceptable,authority,repurchase,contract,policy,consent,return,expand,encounter,asset,court,regulate,cerro,power,please
note,drill,agency,kinross,tariff,bolivia,interest,data,officer,prolong,fix,incident,consume,resolve,critical,describe
facility,study,criminal,vote,utility,local,best,discovery,business,industrial,volatile,divert,diesel,dispute,transport,delaware
govern,todd,legislation,issue,china,import,opportunity,scale,competition,instability,range,silica,proposal,grasberg,source,treatment
debenture,recoverable,storage,ownership,large,fluctuation,ownership,anticipate,grow,violence,period,enforcement,initiative,good,steel,differ
billion,establish,standard,conversion,decline,election,another,profitable,service,personal,sustain,jurisdiction,regulation,force,infrastructure,proposal
restrictive,sec,reclamation,market,consumer,world,shareholder,discover,strategy,attack,long,personal,alternative,five,location,follow
agreement,achieve,extensive,registration,compete,australia,initial,production,inability,outside,net,monetary,steel,three,consumption,request
liquidity,successfully,emission,pay,purchase,rate,amend,property,competitor,area,market,safety,legislation,contract,america,recognize
