id,text,symbol,filing_time,is_action,topic_ids,is_active,label
575,Our officers and directors allocate their time to other businesses thereby causing conflicts of interest in their determination as to how much time to devote to our affairs.,hymc,2020-03,False,"[6, 8]",True,0
576,Increased regulation of greenhouse gas emissions may increase our costs and may also affect the demand for the oil and gas we produce.,fcx,2015-02,False,[12],True,0
577,"As a result of our limited operating history as a stand-alone company, the Department of Labor required us to provide insurance coverage rather than be self-insured for these obligations.",hcc,2020-02,False,"[0, 9]",True,1
578,"Hedging instruments that protect against metals market price volatility may prevent us from realizing the benefit from subsequent increases in market prices with respect to covered production, which would cause us to record a mark-to-market loss, or decrease our cash flows and profits.",aumn,2007-04,False,"[4, 10]",True,0
579,Some of our international activities include expansion into developing countries where business practices and counterparty reputations may not be as well developed as in our U.S. or Australian operations.,btu,2008-02,True,"[5, 8]",True,0
580,"In one case, the customer may elect to acquire the stock of the subsidiary upon a specified period of prior notice, for any reason, in exchange for payments to NACoal on coal mined at that facility in the future.",nc,2011-03,False,[0],True,0
581,"Delays in obtaining or a failure to obtain any licenses, permits or property rights or any required extensions; challenges to the issuance of licenses, permits or property rights, whether successful or unsuccessful; changes to the terms of licenses, permits or property rights; or a failure to comply with the terms of any licenses, permits or property rights that have been obtained could have a material adverse effect on our business by delaying, preventing or making future mining and processing at our Velardena Properties and other continued processing activities economically unfeasible.",aumn,2019-02,False,"[2, 7]",False,0
582,"We may incur losses and be subject to liability claims that could have a material adverse effect on our financial condition, results of operations or cash flows.",hcc,2021-02,False,"[9, 11]",True,0
583,Our exploration activities are subject to normal seasonal weather conditions that often hamper and may temporarily prevent exploration or development activities.,xpl,2018-03,False,"[9, 14]",True,0
584,"Vaaldiam, the previous owner of this mining concession, and at that time a publicly-traded Canadian company, performed detailed geological studies leading to the publication of an NI 43-101 technical report in 2007, with an update in 2008, as required by the rules of the Canadian securities administrator and filed in SEDAR.",bmix,2020-04,False,"[5, 15]",True,0
585,"Any inaccuracy in the reserve estimates could result in lower than expected revenues, higher than expected costs, decreased profitability and asset impairments.",nc,2016-03,False,"[4, 7, 10]",True,0
586,"If one or more of the analysts who cover us downgrades our common stock or publishes inaccurate or unfavorable research about our business, our stock price would likely decline.",lode,2015-01,False,"[3, 6]",True,0
587,We have contract-based intangible liabilities primarily consisting of unutilized capacity under port and rail take-or-pay contracts.,btu,2018-02,False,[4],True,0
588,"On February 16, 2015, the closing prices for silver, gold, lead and zinc were $17.27 per ounce, $1,229 per ounce, $0.83 per pound and $0.98 per pound, respectively.",hl,2015-02,False,[10],True,0
589,These contracts require us to pay for a minimum quantity of coal to be transported on the railway or through the port regardless of whether we sell and ship any coal.,arch,2013-03,False,[4],True,0
590,"Any failure of such other companies to meet their obligations to us or to third parties, or any disputes with respect to the parties respective rights and obligations, could have a material adverse effect on the joint ventures or their properties and therefore could have a material adverse effect on our results of operations, financial performance, cash flows and the price of the Common Shares.",usau,2021-07,False,"[0, 6, 11]",True,0
591,We may be forced to liquidate if the Effective Date of the Plan is delayed.,aumn,2009-03,False,[13],False,0
592,"Results of drilling, metallurgical testing and production, and the evaluation of mine plans subsequent to the date of any estimate, may cause revision of such estimates.",rgld,2008-08,False,[7],True,0
593,These reforms and other pressures may cause LIBOR to disappear entirely or to perform differently than in the past.,slca,2022-02,False,"[4, 9]",True,0
594,In more recent years Peru has had political and social stability.,scco,2014-02,True,"[5, 13]",True,0
595,"As a result, actual cash operating costs and economic returns based upon development of proven and probable ore reserves may differ significantly from those originally estimated.",scco,2015-03,False,"[1, 7]",True,0
596,"Insurance against environmental risks (including potential liability for pollution or other hazards as a result of the disposal of waste products occurring from exploration and production) is not generally available to the companies within the mining industry, such as the operators of the mines in which we hold a royalty interest, at a reasonable price.",rgld,2007-08,False,"[2, 7, 9]",True,0
597,"During this time, the economic feasibility of a project may change because of increased costs, lower metal prices or other factors.",aumn,2015-02,False,"[7, 12]",True,0
598,It has been difficult to get firm or final commitments from the Indonesian government.,fcx,2016-02,False,[13],True,0
599,Changes in the estimated claims to be paid or changes in the amount of collateral required by the Department of Labor may have a greater impact on our profitability and cash flows in the future.,hcc,2020-02,False,[12],True,0
600,"Although certain agreements governing our stream and royalty interests require the operators to provide us with production, operating and other information, we do not have the contractual right to receive such information for all of our stream and royalty interests.",rgld,2016-08,False,[7],True,0
601,The Company has a labor agreement at the San Bartolome mine which is in effect for 2017.,cde,2017-02,True,[13],True,1
602,"As our operations are maturing, the open pits at many of our sites are getting deeper and we have experienced certain geotechnical failures at some of our mines, including, without limitation, in Indonesia at the Batu Hijau open-pit mine.",nem,2010-02,False,[9],True,0
603,Future environmental regulation of GHG emissions could accelerate the use by utilities of fuels other than coal.,arlp,2014-02,False,"[2, 12]",True,0
604,"As a result of such dilution, if you acquire shares of our common stock, your proportionate ownership interest and voting power could be decreased.",uec,2010-10,False,"[3, 6]",True,0
605,"We currently do not have valuation allowances for certain amounts related to the Nevada U.S. tax group and certain foreign deferred tax assets, and our deferred tax assets as of December 31, 2019 were $215.1 million, net of $86.6 million in valuation allowances.",hl,2020-02,False,[10],True,0
606,Our discount rate is determined by utilizing a hypothetical bond portfolio model which approximates the future cash flows necessary to service our liabilities.,btu,2011-02,False,"[0, 8]",False,0
607,"Global and local market conditions, including the high competitiveness in the copper mining industry, may adversely affect our profitability.",scco,2020-02,False,"[4, 5]",True,0
608,"The extent and duration of adverse impacts that the COVID-19 pandemic may have on supply, demand and prices of the commodities we produce, on our suppliers, vendors, customers and employees and on global financial markets is unknown at this time, but could be both material and prolonged.",fcx,2021-02,False,"[4, 9, 12, 14]",True,0
609,"Steel prices and the prices of scrap steel, natural gas and coking coal consumed in the production of iron and steel fluctuate significantly and may change unexpectedly.",hnrg,2020-03,False,"[4, 12, 14]",True,0
610,"Consequently, these penny stock rules may affect the ability of broker-dealers to trade our securities.",lode,2010-04,False,[3],True,0
611,We may not be able to pay common or preferred stock dividends in the future.,hl,2017-02,False,[3],True,0
612,"In Mexico, we are obligated, among other things, to explore or exploit the relevant concession, to pay any relevant fees, to comply with all environmental and safety standards, to provide information to the Ministry of Economy and to allow inspections by the Ministry of Economy.",scco,2015-03,False,"[2, 5, 13]",False,1
613,There can be no assurance that we will continue to repurchase shares of our common stock or outstanding debt securities.,ceix,2021-02,False,"[3, 6]",True,0
614,In January 2010 we paid all dividends in arrears.,hl,2014-02,False,[3],True,1
615,"As a result, there is no assurance that current or future exploration programs will be successful.",fcx,2010-02,False,[1],True,0
616,Our ability to expand or replace ore reserves primarily depends on the success of our exploration programs.,hl,2018-02,True,"[1, 7, 8]",True,0
617,"The assailants shot at several vehicles transporting international contract teachers from our school in Tembagapura, their family members and other contractors to PT Freeport Indonesia.",fcx,2009-02,False,"[5, 13]",True,0
618,"We may seek to raise additional funds, finance acquisitions, or develop strategic relationships by issuing securities that would dilute your ownership.",bmix,2022-03,False,"[1, 3, 8]",True,0
619,"In the event the IRS were to prevail with such challenge, CNX, the Company and the Companys stockholders could be subject to significant U.S. federal income tax liability.",ceix,2018-02,False,"[11, 15]",True,0
620,Environmental regulations in Peru and Mexico have become increasingly stringent over the last decade and we have been required to dedicate more time and money to compliance and remediation activities.,scco,2008-02,False,"[2, 5]",False,1
621,"As a result of market conditions, competition or other factors, these customers may not continue to purchase the same levels of our products in the future, if at all.",slca,2021-02,False,[4],True,0
622,"Although we attempt to secure contractual rights that will permit us to protect our interests, there can be no assurance that such rights will always be available or sufficient, or that our efforts will be successful in achieving timely or favorable results or in affecting the operations of the properties in which we have royalty interests in ways that would be beneficial to our stockholders.",rgld,2007-08,False,"[1, 6]",True,0
623,"Other public nuisance lawsuits have been brought in the past against power, coal, and oil & gas companies alleging that their operations are contributing to climate change.",arlp,2022-02,False,"[11, 12]",False,0
624,"Such estimates are, to a large extent, based on the price of gold and interpretations of geologic data obtained from drill holes and other exploration techniques.",nem,2008-02,False,"[1, 7]",True,0
625,Substantial expenditures are required to acquire existing gold properties with established reserves or to establish proven or probable reserves through drilling and analysis.,lode,2015-01,False,"[1, 7]",False,0
626,Those financial institutions may not be able to meet their funding commitments if they experience shortages of capital and liquidity or if they experience excessive volumes of borrowing requests within a short period of time.,arch,2009-02,False,"[0, 1, 8]",True,0
627,Retirements of coal-fired electric generating units decrease the overall capacity to burn coal and negatively impact coal demand.,arlp,2018-02,False,"[4, 12]",True,0
628,We are also subject to claims where the release of hazardous substances is alleged to have damaged natural resources.,fcx,2016-02,False,"[2, 11]",True,0
629,Severe weather or violent storms could materially affect our operations due to damage or delays caused by such weather.,xpl,2021-03,False,"[9, 14]",True,0
630,"If we fail to acquire sufficient export sales to meet our minimum obligations under these contracts we are still obligated to make payments to the railway or port facility, which could have a negative impact on our cash flows, profitability and results of operations.",arch,2014-02,False,"[0, 4]",True,0
